Level,Defense mechanism,#,Film,Year,Director,Character,Actor,IMDb,Quote,Region
Neurotic,Displacement,4,There Will Be Blood,2007,Paul Thomas Anderson,Daniel Plainview,Daniel Day-Lewis,tt0469494,"""I have a competition in me. I want no one else to succeed. I hate most people."" — Daniel Plainview",
Neurotic,Displacement,5,Mommie Dearest,1981,Frank Perry,Joan Crawford,Faye Dunaway,tt0082766,"""No wire hangers, ever!"" — Joan Crawford",
Neurotic,Displacement,6,American History X,1998,Tony Kaye,Derek Vinyard,Edward Norton,tt0120586,"""We're so hung up on this notion that we have some moral obligation here to take care of these people."" — Derek Vinyard",
Neurotic,Displacement,8,The Piano Teacher / La Pianiste,2001,Michael Haneke,Erika Kohut,Isabelle Huppert,tt0254686,"""I have no feelings, and if I ever do, they won't defeat my intelligence."" — Erika Kohut",
Neurotic,Displacement,9,Oldboy,2003,Park Chan-wook,Oh Dae-su,Choi Min-sik,tt0364569,"""Even though I'm no more than a monster — don't I, too, have the right to live?"" — Oh Dae-su",
Neurotic,Displacement,10,The Devil Wears Prada,2006,David Frankel,Miranda Priestly,Meryl Streep,tt0458352,"""By all means, move at a glacial pace. You know how that thrills me."" — Miranda Priestly",
Neurotic,Displacement,11,American Beauty,1999,Sam Mendes,Carolyn Burnham,Annette Bening,tt0169547,"""I will sell this house today. I will sell this house today."" — Carolyn Burnham (then slapping herself)",
Neurotic,Displacement,12,Network,1976,Sidney Lumet,Howard Beale,Peter Finch,tt0074958,"""I'm as mad as hell, and I'm not going to take this anymore!"" — Howard Beale",
Neurotic,Displacement,13,Gone Girl,2014,David Fincher,Amy Dunne,Rosamund Pike,tt2267998,"""I will practice believing my husband loves me, but I could be wrong."" — Amy Dunne",
Neurotic,Displacement,14,The Servant,1963,Joseph Losey,Tony (James Fox) / Hugo Barrett,Dirk Bogarde,tt0057490,"""It's all gone to pot, hasn't it?"" — Hugo Barrett",
Neurotic,Displacement,15,Wages of Fear / Le Salaire de la peur,1953,Henri-Georges Clouzot,Mario (Yves Montand) / Jo,Charles Vanel,tt0046268,"""T'es plus rien, Jo. T'as la trouille, c'est tout."" (""You're nothing, Jo. You're just scared, that's all."") — Mario",
Neurotic,Displacement,K2,The Wailing / 곡성,2016,Na Hong-jin,Jong-goo / 종구,Kwak Do-won / 곽도원,tt5215952,"""그놈은 그냥 미끼를 던져분 것이고 자네 딸내미는 고것을 확 물어분 것이여."" / ""He just threw out the bait, and your daughter took it."" — Il-gwang (일광)",Korean
Neurotic,Dissociation,1,Fight Club,1999,David Fincher,The Narrator / Tyler Durden,Edward Norton / Brad Pitt,tt0137523,"""I'm Jack's complete lack of surprise."" — The Narrator",
Neurotic,Dissociation,2,Black Swan,2010,Darren Aronofsky,Nina Sayers,Natalie Portman,tt0947798,"""I just want to be perfect."" — Nina Sayers",
Neurotic,Dissociation,3,Shutter Island,2010,Martin Scorsese,"""Teddy Daniels"" / Andrew Laeddis",Leonardo DiCaprio,tt1130884,"""Which would be worse — to live as a monster, or to die as a good man?"" — Andrew Laeddis",
Neurotic,Dissociation,4,Persona,1966,Ingmar Bergman,Elisabet Vogler / Alma,Liv Ullmann / Bibi Andersson,tt0060827,"""No, don't! Don't! No, I'm not like you. I don't feel as you do. I'm Sister Alma. I'm only here to help you. I'm not Elisabet Vogler. You are Elisabet Vogler."" — Alma",
Neurotic,Dissociation,5,Identity,2003,James Mangold,"Malcolm Rivers / ""Ed""",John Cusack,tt0309698,"""When there's no one left, the killer reveals himself."" — Dr. Malick (paraphrase of therapy-room reveal)",
Neurotic,Dissociation,6,The Three Faces of Eve,1957,Nunnally Johnson,Eve White / Eve Black / Jane,Joanne Woodward,tt0051077,"""Hello, Doctor."" — Eve Black (her first emergence in Dr. Luther's office)",
Neurotic,Dissociation,7,Psycho,1960,Alfred Hitchcock,Norman Bates,Anthony Perkins,tt0054215,"""A boy's best friend is his mother."" — Norman Bates",
Neurotic,Dissociation,8,Mulholland Drive,2001,David Lynch,"Diane Selwyn / ""Betty Elms""",Naomi Watts,tt0166924,"""It'll be just like in the movies. We'll pretend to be someone else."" — ""Betty"" Elms",
Neurotic,Dissociation,9,Sybil,1976,Daniel Petrie,Sybil Dorsett,Sally Field,tt0075296,"""I'm Vicky. I'm not Sybil. I never have been."" — Vicky (alter)",
Neurotic,Dissociation,10,Spider,2002,David Cronenberg,"Dennis ""Spider"" Cleg",Ralph Fiennes,tt0278731,"""She's not my mum."" — young Spider (paraphrase of repeated boyhood line)",
Neurotic,Dissociation,11,Repulsion,1965,Roman Polanski,Carol Ledoux,Catherine Deneuve,tt0059646,"""I must get this crack mended."" — Carol Ledoux",
Neurotic,Dissociation,12,Hour of the Wolf / Vargtimmen,1968,Ingmar Bergman,Johan Borg,Max von Sydow,tt0063759,"""The hour between night and dawn … is when most people die, when sleep is deepest, when nightmares are most palpable."" — Johan Borg",
Neurotic,Dissociation,13,"A Tale of Two Sisters (Janghwa, Hongryeon)",2003,Kim Jee-woon,Su-mi,Im Soo-jung,tt0365376,"""Do you know what's really scary? You want to forget something. Totally wipe it off your mind. But you never can."" — Eun-joo / Su-mi",
Neurotic,Dissociation,14,Perfect Blue,1997,Satoshi Kon,Mima Kirigoe,voice: Junko Iwao,tt0156887,"""I'm the real one!"" — ""Mima"" (the doppelgänger)",
Neurotic,Dissociation,15,The Machinist,2004,Brad Anderson,Trevor Reznik,Christian Bale,tt0361862,"""If you were any thinner, you wouldn't exist."" — Stevie",
Neurotic,Dissociation,K1,3-Iron / 빈집,2004,Kim Ki-duk,Tae-suk / 태석 (Jae Hee / 재희) and Sun-hwa / 선화,Lee Seung-yun / 이승연,tt0423866,"""우리가 사는 세상이 꿈인지 현실인지 알 수 없다."" / ""It is hard to tell if the world we live in is a dream or reality."" — Closing intertitle",Korean
Neurotic,Dissociation,K2,Mother / 마더,2009,Bong Joon-ho,Mother / 엄마,Kim Hye-ja / 김혜자,tt1216496,"""엄마 있어요? 엄마 없어요?"" / ""Have you got a mother? Have you got a mom?"" — Mother (in flashback to the abandoned witness, and ironically by the police about Do-joon's victim)",Korean
Neurotic,Dissociation,K3,The Yellow Sea / 황해,2010,Na Hong-jin,Gu-nam / 구남,Ha Jung-woo / 하정우,tt1230385,"""여기는 어디고, 나는 누구인가."" / ""Where am I, and who am I?"" (paraphrase / 의역 of the film's voice-over self-questioning during the crossing)",Korean
Neurotic,Intellectualization,1,Good Will Hunting,1997,Gus Van Sant,Will Hunting,Matt Damon,tt0119217,"""You've never had a real loss, because that requires loving something more than you love yourself."" — Sean Maguire (naming Will's intellectualizing defense)",
Neurotic,Intellectualization,2,A Beautiful Mind,2001,Ron Howard,John Forbes Nash Jr.,Russell Crowe,tt0268978,"""I have made the most important discovery of my life. It's only in the mysterious equations of love that any logical reasons can be found."" — John Nash (Nobel speech)",
Neurotic,Intellectualization,3,The Imitation Game,2014,Morten Tyldum,Alan Turing,Benedict Cumberbatch,tt2084970,"""Sometimes it is the people no one imagines anything of who do the things that no one can imagine."" — Alan Turing",
Neurotic,Intellectualization,4,Dr. Strangelove,1964,Stanley Kubrick,Dr. Strangelove (Peter Sellers); Gen. Buck Turgidson,George C. Scott,tt0057012,"""Mr. President, I'm not saying we wouldn't get our hair mussed. But I do say no more than ten to twenty million killed, tops, depending on the breaks."" — Gen. Buck Turgidson",
Neurotic,Intellectualization,5,The Theory of Everything,2014,James Marsh,Stephen Hawking,Eddie Redmayne,tt2980516,"""There should be no boundary to human endeavour. We are all different. However bad life may seem, there is always something you can do, and succeed at."" — Stephen Hawking",
Neurotic,Intellectualization,6,Annie Hall,1977,Woody Allen,Alvy Singer,Woody Allen,tt0075686,"""I think we should all get back into bed and be friends."" — Alvy Singer (paraphrasing Marshall McLuhan); also: ""Boy, if life were only like this!"" — Alvy Singer",
Neurotic,Intellectualization,7,The Squid and the Whale,2005,Noah Baumbach,Bernard Berkman,Jeff Daniels,tt0367089,"""It's one of my predecessors. Don't be afraid of it."" — Bernard Berkman (about Kafka's *The Metamorphosis*)",
Neurotic,Intellectualization,8,Margin Call,2011,J.C. Chandor,John Tuld (Jeremy Irons); Sam Rogers,Kevin Spacey,tt1615147,"""There are three ways to make a living in this business: be first, be smarter, or cheat."" — John Tuld",
Neurotic,Intellectualization,9,Rope,1948,Alfred Hitchcock,Brandon Shaw (John Dall); Phillip Morgan (Farley Granger); Rupert Cadell,James Stewart,tt0040746,"""Murder is — or should be — an art. And as such, the privilege of committing it should be reserved for those few who are really superior individuals."" — Rupert Cadell (early in the film, glibly)",
Neurotic,Intellectualization,10,The Master,2012,Paul Thomas Anderson,Lancaster Dodd,Philip Seymour Hoffman,tt1560747,"""If you figure out a way to live without serving a master, any master, then let the rest of us know, will you? For you'd be the first person in the history of the world."" — Lancaster Dodd",
Neurotic,Intellectualization,11,My Dinner with Andre,1981,Louis Malle,Wallace Shawn (Wallace Shawn) / Andre Gregory,Andre Gregory,tt0083200,"""I think that New York is the new model for the new concentration camp, where the camp has been built by the inmates themselves, and the inmates are the guards."" — Andre Gregory",
Neurotic,Intellectualization,12,The Lives of Others / Das Leben der Anderen,2006,Florian Henckel von Donnersmarck,Captain Gerd Wiesler,Ulrich Mühe,tt0405094,"""Can anyone who has heard this music, I mean truly heard it, really be a bad person?"" — Georg Dreyman (the line that pierces Wiesler's defense)",
Neurotic,Intellectualization,13,The Ice Storm,1997,Ang Lee,,,tt0119349,"""In issue 141 of *The Fantastic Four*, published in November 1973, Reed Richards has to use his anti-matter weapon on his own son … [a] family is your own personal anti-matter."" — Paul Hood (voiceover)",
Neurotic,Intellectualization,14,Crimes and Misdemeanors,1989,Woody Allen,Judah Rosenthal,Martin Landau,tt0097123,"""I have a great murder story. A great plot. … I'm just curious what your reaction would be."" — Judah Rosenthal",
Neurotic,Intellectualization,15,Eyes Wide Shut,1999,Stanley Kubrick,Dr. Bill Harford,Tom Cruise,tt0120663,"""No dream is ever just a dream."" — Bill Harford",
Neurotic,Intellectualization,K1,Decision to Leave / 헤어질 결심,2022,Park Chan-wook,Detective Jang Hae-jun / 장해준,Park Hae-il / 박해일,tt12477480,"""마침내. 드디어, 울었다."" / ""At last. Finally, she cried."" — Hae-jun's voice memo while watching Seo-rae through his telephoto lens",Korean
Neurotic,Intellectualization,K2,The Handmaiden / 아가씨,2016,Park Chan-wook,Uncle Kouzuki / 코우즈키 외숙부,Cho Jin-woong / 조진웅,tt4016934,"""I'm just an old man who likes dirty stories."" / ""더러운 이야기를 좋아하는 늙은이일 뿐이다."" — Uncle Kouzuki",Korean
Neurotic,Intellectualization,K3,Memoir of a Murderer / 살인자의 기억법,2017,Won Shin-yun,Kim Byung-soo / 김병수,Sul Kyung-gu / 설경구,tt5729348,"""기억하지 말고 습관으로 만들어. 습관이 훨씬 더 오래간다."" / ""Don't memorize, make it habit. Habit lasts longer."" — Kim Byung-soo (voice-over / diary)",Korean
Neurotic,Isolation of Affect,1,American Psycho,2000,Mary Harron,Patrick Bateman,Christian Bale,tt0144084,"""There is an idea of a Patrick Bateman, some kind of abstraction, but there is no real me, only an entity, something illusory … I simply am not there."" — Patrick Bateman",
Neurotic,Isolation of Affect,2,No Country for Old Men,2007,Coen Brothers,Anton Chigurh,Javier Bardem,tt0477348,"""What's the most you ever lost on a coin toss?"" — Anton Chigurh",
Neurotic,Isolation of Affect,3,Drive,2011,Nicolas Winding Refn,The Driver,Ryan Gosling,tt0780504,"""If I drive for you, you give me a time and a place. I give you a five-minute window. … Anything happens in that five minutes and I'm yours. No matter what. Anything a minute on either side of that and you're on your own."" — The Driver",
Neurotic,Isolation of Affect,4,The Day of the Jackal,1973,Fred Zinnemann,The Jackal,Edward Fox,tt0069947,"""I will give it consideration, but I do not feel I should accept the job for less than half a million dollars."" — The Jackal",
Neurotic,Isolation of Affect,5,Le Samouraï,1967,Jean-Pierre Melville,Jef Costello,Alain Delon,tt0061395,"""There is no greater solitude than that of the samurai unless it is that of the tiger in the jungle … Perhaps."" — Bushidō epigraph (Melville's own forgery, attributed to ""Book of Bushido"")",
Neurotic,Isolation of Affect,6,Zodiac,2007,David Fincher,Robert Graysmith (Jake Gyllenhaal); also Insp. Toschi,Mark Ruffalo,tt0443706,"""I need to know who he is. I need to stand there. I need to look him in the eye."" — Robert Graysmith",
Neurotic,Isolation of Affect,7,The Killing of a Sacred Deer,2017,Yorgos Lanthimos,,,tt5715874,"""Our daughter started menstruating last week … She's the first in her class."" — Anna Murphy (introducing the daughter at dinner)",
Neurotic,Isolation of Affect,8,The Conformist / Il Conformista,1970,Bernardo Bertolucci,Marcello Clerici,Jean-Louis Trintignant,tt0065571,"""I want to build a normal life."" — Marcello Clerici",
Neurotic,Isolation of Affect,9,The Trial of Adolf Eichmann (Specialist) / Un Spécialiste,1999,Eyal Sivan,,,tt0204146,"""I never killed a Jew. I never killed a non-Jew. … I never gave such an order."" — Adolf Eichmann (transcript)",
Neurotic,Isolation of Affect,10,The Lobster,2015,Yorgos Lanthimos,David,Colin Farrell,tt3464902,"""I think I want to be a lobster, sir. … Because lobsters live for over a hundred years … and I've always liked the sea."" — David",
Neurotic,Isolation of Affect,11,Wall Street,1987,Oliver Stone,Gordon Gekko,Michael Douglas,tt0094291,"""Greed, for lack of a better word, is good. Greed is right. Greed works."" — Gordon Gekko",
Neurotic,Isolation of Affect,12,Michael Clayton,2007,Tony Gilroy,Karen Crowder,Tilda Swinton,tt0465538,"""What do you need? … Make it happen."" — Karen Crowder (authorizing the murder)",
Neurotic,Isolation of Affect,13,The Stranger / L'Étranger,1967,Luchino Visconti,Arthur Meursault,Marcello Mastroianni,tt0061844,"""Mother died today. Or maybe yesterday, I don't know."" — Meursault (opening voiceover, after Camus)",
Neurotic,Isolation of Affect,14,The Master,2012,Paul Thomas Anderson,Lancaster Dodd,Philip Seymour Hoffman,tt1560747,"""Do not blink, Freddie. Do not blink."" — Lancaster Dodd",
Neurotic,Isolation of Affect,15,Caché / Hidden,2005,Michael Haneke,Georges Laurent,Daniel Auteuil,tt0387898,"""I have nothing to feel guilty about."" — Georges Laurent",
Neurotic,Isolation of Affect,K1,Poetry / 시,2010,Lee Chang-dong,Yang Mi-ja / 양미자,Yoon Jeong-hee / 윤정희,tt1287878,"""시상이 떠오르려면, 사물을 잘 봐야 합니다. 잘 본다는 것이 중요해요."" / ""To find a poetic image, you must look carefully. To look carefully — that is the key."" — poetry instructor Kim Yong-tak, internalized by Mi-ja",Korean
Neurotic,Isolation of Affect,K2,Memories of Murder / 살인의 추억,2003,Bong Joon-ho,Detective Park Doo-man / 박두만,Song Kang-ho / 송강호,tt0353969,"""밥은 먹고 다니냐?"" / ""You been eating your meals?"" — Detective Park, to the prime suspect Park Hyun-gyu, after the lab results clear him",Korean
Neurotic,Isolation of Affect,K3,Christmas in August / 8월의 크리스마스,1998,Hur Jin-ho,Jung-won / 정원,Han Seok-kyu / 한석규,tt0140825,"""내 기억 속의 무수한 사진들처럼 사랑도 추억으로 그렇게 남겨졌습니다. 당신을 사랑했습니다."" / ""Like the countless photographs in my memory, our love too was left behind as a memory. I loved you."" — Jung-won (closing voice-over letter to Da-rim)",Korean
Neurotic,Reaction Formation,1,American Beauty,1999,Sam Mendes,Col. Frank Fitts,Chris Cooper,tt0169547,"""How dare you talk to me that way! How dare you?"" — Col. Frank Fitts (after Lester refuses the kiss)",
Neurotic,Reaction Formation,2,Taxi Driver,1976,Martin Scorsese,Travis Bickle,Robert De Niro,tt0075314,"""Listen, you fuckers, you screwheads. Here is a man who would not take it anymore. … Here is someone who stood up."" — Travis Bickle",
Neurotic,Reaction Formation,3,American History X,1998,Tony Kaye,Derek Vinyard,Edward Norton,tt0120586,"""Hate is baggage. Life's too short to be pissed off all the time. It's just not worth it."" — Danny Vinyard (quoting reformed Derek)",
Neurotic,Reaction Formation,4,The Crucible,1996,Nicholas Hytner,Abigail Williams (Winona Ryder); Rev. Parris,Bruce Davison,tt0115988,"""I look for John Proctor that took me from my sleep and put knowledge in my heart!"" — Abigail Williams",
Neurotic,Reaction Formation,5,Carrie,1976,Brian De Palma,Margaret White,Piper Laurie,tt0074285,"""I can see your dirty pillows. Everyone will."" — Margaret White",
Neurotic,Reaction Formation,6,Far From Heaven,2002,Todd Haynes,Frank Whitaker,Dennis Quaid,tt0297884,"""I'm gonna beat this thing."" — Frank Whitaker",
Neurotic,Reaction Formation,7,The Servant,1963,Joseph Losey,Hugo Barrett,Dirk Bogarde,tt0057490,"""I'm only a servant, sir."" — Hugo Barrett",
Neurotic,Reaction Formation,8,Election,1999,Alexander Payne,Jim McAllister (Matthew Broderick); Tracy Flick,Reese Witherspoon,tt0126886,"""The weak are always trying to sabotage the strong."" — Tracy Flick",
Neurotic,Reaction Formation,9,Doubt,2008,John Patrick Shanley,Sister Aloysius Beauvius,Meryl Streep,tt0918927,"""I have doubts. I have such doubts."" — Sister Aloysius (final line)",
Neurotic,Reaction Formation,10,Footloose,1984,Herbert Ross,Rev. Shaw Moore,John Lithgow,tt0087277,"""If we don't believe in our hearts that we're righteous people, we will not be able to walk together as Christians."" — Rev. Shaw Moore",
Neurotic,Reaction Formation,11,The Talented Mr. Ripley,1999,Anthony Minghella,Tom Ripley,Matt Damon,tt0134119,"""I always thought it would be better, to be a fake somebody than a real nobody."" — Tom Ripley",
Neurotic,Reaction Formation,12,Black Narcissus,1947,Powell & Pressburger,Sister Clodagh (Deborah Kerr); Sister Ruth,Kathleen Byron,tt0039192,"""There's something in the atmosphere that makes everything seem exaggerated."" — Sister Clodagh",
Neurotic,Reaction Formation,13,The White Ribbon / Das weiße Band,2009,Michael Haneke,The Pastor,Burghart Klaußner,tt1149362,"""We have decided to take measures … the white ribbon … should remind you of innocence and purity."" — The Pastor",
Neurotic,Reaction Formation,14,Capote,2005,Bennett Miller,Truman Capote,Philip Seymour Hoffman,tt0379725,"""There wasn't anything I could have done to save them."" — Truman Capote",
Neurotic,Reaction Formation,15,The Magdalene Sisters,2002,Peter Mullan,Sister Bridget,Geraldine McEwan,tt0318411,"""You took them from your mother to give them to your boyfriend, didn't you?"" — Sister Bridget",
Neurotic,Reaction Formation,K1,The Housemaid / 하녀,2010,Im Sang-soo,Cho Eun-yi / 조은이,Jeon Do-yeon / 전도연,tt1314652,"""내가 사람으로도 안 보이는 거 알아요. 그래도 이 아기는 당신 아기예요."" / ""I know you don't even think of me as human, but this baby is yours."" — Eun-yi to Hoon",Korean
Neurotic,Reaction Formation,K2,Portrait of a Beauty / 미인도,2008,Jeon Yun-su,Sin Yun-bok / 신윤복,Kim Gyu-ri / 김규리,tt1330206,"""그림은 거짓을 말하지 못한다."" / ""A painting cannot lie."" — Kim Hong-do, to the disguised Yun-bok",Korean
Neurotic,Reaction Formation,K3,Thirst / 박쥐,2009,Park Chan-wook,Father Sang-hyun / 상현 신부,Song Kang-ho / 송강호,tt0762073,"""주 예수 그리스도의 이름으로 다음을 청하나이다… 살이 썩어 들어가는 문둥이처럼, 모두가 저를 피하게 하소서… 정조를 맹세한 이 몸이 더럽혀져 부끄러움 속에 살게 하소서."" / ""Grant me the following in the name of our Lord Jesus Christ. Like a leper rotting in flesh, let all avoid me… Ravage my body sworn to chastity; leave me with no pride, and have me live in shame."" — Father Sang-hyun",Korean
Neurotic,Repression,1,Manchester by the Sea,2016,Kenneth Lonergan,Lee Chandler,Casey Affleck,tt4034228,"""I can't beat it. I can't beat it. I'm sorry."" — Lee Chandler",
Neurotic,Repression,2,Mulholland Drive,2001,David Lynch,"Diane Selwyn / ""Betty""",Naomi Watts,tt0166924,"""No hay banda! There is no band! Il n'est pas de orquestra! It is all a tape recording. It is an illusion."" — Magician at Club Silencio",
Neurotic,Repression,3,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,Joel Barish,Jim Carrey,tt0338013,"""Please let me keep this memory, just this one."" — Joel Barish",
Neurotic,Repression,4,Memento,2000,Christopher Nolan,Leonard Shelby,Guy Pearce,tt0209144,"""I have to believe in a world outside my own mind. I have to believe that my actions still have meaning, even if I can't remember them."" — Leonard Shelby",
Neurotic,Repression,5,A Single Man,2009,Tom Ford,George Falconer,Colin Firth,tt1315981,"""Just get through the goddamn day."" — George Falconer (paraphrase — voice-over recurring motif)",
Neurotic,Repression,6,Star Wars: Revenge of the Sith,2005,George Lucas,Anakin Skywalker / Darth Vader,Hayden Christensen,tt0121766,"""I will not lose her the way I lost my mother."" — Anakin Skywalker",
Neurotic,Repression,7,Hiroshima mon amour,1959,Alain Resnais,Elle / She,Emmanuelle Riva,tt0052893,"""Tu me tues. Tu me fais du bien."" (""You are killing me. You are doing me good."") — Elle",
Neurotic,Repression,8,Spellbound,1945,Alfred Hitchcock,"John Ballantyne / ""J.B.""",Gregory Peck,tt0038109,"""The complexes that are buried in a sick mind … are like the curses that the gypsies put on you. You can free yourself only by remembering the thing you've buried."" — Dr. Brulov",
Neurotic,Repression,9,Ordinary People,1980,Robert Redford,Conrad Jarrett,Timothy Hutton,tt0081283,"""Because! Because I was holding on, you son of a bitch! And he let go! Why did he let go?"" — Conrad Jarrett",
Neurotic,Repression,10,The Remains of the Day,1993,James Ivory,Mr. Stevens,Anthony Hopkins,tt0107943,"""It is not for me to display my feelings, even now."" — Stevens (paraphrase of voice-over closing reflection)",
Neurotic,Repression,11,Wild Strawberries,1957,Ingmar Bergman,Prof. Isak Borg,Victor Sjöström,tt0050986,"""I am dead, although I live."" — Isak Borg (paraphrase from dream-sequence narration)",
Neurotic,Repression,12,Caché / Hidden,2005,Michael Haneke,Georges Laurent,Daniel Auteuil,tt0387898,"""I was six years old. What does it have to do with me?"" — Georges Laurent",
Neurotic,Repression,13,Marnie,1964,Alfred Hitchcock,Marnie Edgar,Tippi Hedren,tt0058329,"""There. There now."" — Marnie (regressed to childhood voice during the recovery scene; paraphrase of recovered-memory dialogue)",
Neurotic,Repression,14,Three Colors: Blue,1993,Krzysztof Kieślowski,Julie Vignon,Juliette Binoche,tt0108394,"""Now I have only one thing left to do: nothing. I want no belongings, no memories. No friends, no love. Those are all traps."" — Julie Vignon",
Neurotic,Repression,15,The Browning Version,1951,Anthony Asquith,Andrew Crocker-Harris,Michael Redgrave,tt0043359,"""I knew. I knew of course. But the trick I always managed to perform … was not to allow myself to know."" — Andrew Crocker-Harris",
Neurotic,Repression,K1,Secret Sunshine / 밀양,2007,Lee Chang-dong,Lee Shin-ae / 이신애,Jeon Do-yeon / 전도연,tt0817225,"""다시 태어난다는 말, 전에는 그게 무슨 말인지 몰랐는데요, 이제는 확실히 알았어요."" / ""I never used to understand what 'born again' meant — now I know for certain."" — Shin-ae at the prayer meeting, before the prison visit",Korean
Neurotic,Repression,K2,Peppermint Candy / 박하사탕,1999,Lee Chang-dong,Kim Yong-ho / 김영호,Sul Kyung-gu / 설경구,tt0247613,"""나 다시 돌아갈래!"" / ""I want to go back!"" — Kim Yong-ho, on the railroad bridge",Korean
Neurotic,Undoing,1,The Machinist,2004,Brad Anderson,Trevor Reznik,Christian Bale,tt0361862,"""If you were any thinner, you wouldn't exist."" — Miller",
Neurotic,Undoing,2,Atonement,2007,Joe Wright,Briony Tallis,Saoirse Ronan / Romola Garai / Vanessa Redgrave,tt0783233,"""I gave them their happiness."" — Briony Tallis",
Neurotic,Undoing,3,Vertigo,1958,Alfred Hitchcock,"John ""Scottie"" Ferguson",James Stewart,tt0052357,"""Judy, please, it can't matter to you."" — Scottie Ferguson",
Neurotic,Undoing,4,The Sweet Hereafter,1997,Atom Egoyan,Mitchell Stephens,Ian Holm,tt0120255,"""We are all citizens of a different town now. A place with its own special rules and its own special laws."" — Mitchell Stephens",
Neurotic,Undoing,5,Schindler's List,1993,Steven Spielberg,Oskar Schindler,Liam Neeson,tt0108052,"""I could have got more out. I could have got more. I don't know. If I'd just… I could have got more."" — Oskar Schindler",
Neurotic,Undoing,6,In Bruges,2008,Martin McDonagh,Ray,Colin Farrell,tt0780536,"""If I grow up and turn out to be a… If I survive all this, you know what I'm gonna do? I'm gonna live in Bruges. Forever."" — Ray",
Neurotic,Undoing,7,Crimes and Misdemeanors,1989,Woody Allen,Judah Rosenthal,Martin Landau,tt0097123,"""After the awful deed is done, he finds that he's plagued by deep-rooted guilt… little sparks of his religious background, which he'd rejected, are suddenly stirred up."" — Judah Rosenthal",
Neurotic,Undoing,8,Throne of Blood,1957,Akira Kurosawa  *[non-English]*,Lady Asaji Washizu,Isuzu Yamada,tt0050613,"""Wash it away! Wash it all away!"" — Lady Asaji Washizu (paraphrase from English subtitled release)",
Neurotic,Undoing,9,Macbeth,1971,Roman Polanski,Lady Macbeth,Francesca Annis,tt0067372,"""Out, damned spot! Out, I say!"" — Lady Macbeth",
Neurotic,Undoing,10,Crime and Punishment / Rikos ja rangaistus,1983,Aki Kaurismäki  *[non-English]*,Antti Rahikainen,Markku Toikka,tt0086119,"""I killed a louse."" — Antti Rahikainen",
Neurotic,Undoing,11,Mystic River,2003,Clint Eastwood,Jimmy Markum,Sean Penn,tt0327056,"""We bury our sins here, Dave. We wash them clean."" — Jimmy Markum",
Neurotic,Undoing,12,Through a Glass Darkly / Såsom i en spegel,1961,Ingmar Bergman  *[non-English]*,David,Gunnar Björnstrand,tt0055499,"""I can't help feeling that this whole thing is somehow my fault."" — David",
Neurotic,Undoing,13,The Five Obstructions / De fem benspænd,2003,Lars von Trier & Jørgen Leth  *[non-English]*,,,tt0354575,"""We have to turn the perfect human into a real person."" — Lars von Trier",
Neurotic,Undoing,14,The Remains of the Day,1993,James Ivory,James Stevens,Anthony Hopkins,tt0107943,"""Indeed — why should I not be?"" — Mr. Stevens",
Neurotic,Undoing,15,The Hours,2002,Stephen Daldry,Laura Brown,Julianne Moore,tt0274558,"""I chose life."" — Laura Brown",
Neurotic,Undoing,K1,Sympathy for Lady Vengeance / 친절한 금자씨,2005,Park Chan-wook,Lee Geum-ja / 이금자,Lee Young-ae / 이영애,tt0451094,"""너나 잘하세요."" / ""You mind your own business."" — Geum-ja, refusing absolution from a Christian missionary on her release",Korean
Neurotic,Undoing,K2,"Spring, Summer, Fall, Winter… and Spring / 봄 여름 가을 겨울 그리고 봄",2003,Kim Ki-duk,The Adult Monk / 청년승,"Kim Ki-duk himself, in the Winter chapter",tt0374546,"(largely silent film; the master's ""Spring"" injunction —) ""네가 죽인 그 짐승들이, 평생 네 마음에 돌이 되어 따라다닐 것이다."" / ""Those creatures you killed will follow you as stones in your heart for the rest of your life."" — The Old Master, to the boy",Korean
Neurotic,Undoing,K3,Oasis / 오아시스,2002,Lee Chang-dong,Hong Jong-du / 홍종두,Sul Kyung-gu / 설경구,tt0320193,"""내가 그 사람 아들 죽였잖아요. 그래서 내가 책임지러 온 거잖아요."" / ""I'm the one who killed her father. That's why I came — to take responsibility."" — Hong Jong-du, to Gong-ju's brother",Korean
Narcissistic / Disavowal,Devaluation,1,The Devil Wears Prada,2006,David Frankel,Miranda Priestly,Meryl Streep,tt0458352,"""Florals? For spring? Groundbreaking."" — Miranda Priestly",
Narcissistic / Disavowal,Devaluation,2,Whiplash,2014,Damien Chazelle,Terence Fletcher,J.K. Simmons,tt2582802,"""You are a worthless, friendless, faggot-lipped little piece of shit whose mommy left daddy when she figured out he wasn't Eugene O'Neill, and who is now weeping and slobbering all over my drum set like a fucking nine-year old girl!"" — Terence Fletcher",
Narcissistic / Disavowal,Devaluation,3,The Social Network,2010,David Fincher,Mark Zuckerberg,Jesse Eisenberg,tt1285016,"""You have part of my attention — you have the minimum amount. The rest of my attention is back at the offices of Facebook, where my colleagues and I are doing things that no one in this room, including and especially your clients, are intellectually or creatively capable of doing."" — Mark Zuckerberg",
Narcissistic / Disavowal,Devaluation,4,There Will Be Blood,2007,Paul Thomas Anderson,Daniel Plainview,Daniel Day-Lewis,tt0469494,"""I have a competition in me. I want no one else to succeed. I hate most people."" — Daniel Plainview",
